Title,Year,IMDB,Kills
King of New York,1990,http://www.imdb.com/title/tt0099939/,38
Kiss Kiss Bang Bang,2005,http://www.imdb.com/title/tt0373469/,15
Kung Fu Hustle,2004,http://www.imdb.com/title/tt0373074/,20
The Ladykillers,2004,http://www.imdb.com/title/tt0335245/,5
Last Action Hero,1993,http://www.imdb.com/title/tt0107362/,45
The Last Boy Scout,1991,http://www.imdb.com/title/tt0102266/,26
The Last House on the Left,2009,http://www.imdb.com/title/tt0844708/,6
Last of the Mohicans,1992,http://www.imdb.com/title/tt0104691/,172
The Last Samurai,2003,http://www.imdb.com/title/tt0325710/,558
Layer Cake,2004,http://www.imdb.com/title/tt0375912/,8
The Legend of Zorro,2005,http://www.imdb.com/title/tt0386140/,13
Lethal Weapon,1987,http://www.imdb.com/title/tt0093409/,26
Lethal Weapon 2,1989,http://www.imdb.com/title/tt0097733/,33
Lethal Weapon 3,1992,http://www.imdb.com/title/tt0104714/,17
Lethal Weapon 4,1998,http://www.imdb.com/title/tt0122151/,30
Leon,1994,http://amazon.imdb.com/title/tt0110413/,33
Letters from Iwo Jima,2006,http://www.imdb.com/title/tt0498380/,84
Live and Let Die,1973,http://www.imdb.com/title/tt0070328/,11
"Lock, Stock and Two Smoking Barrels",1998,http://www.imdb.com/title/tt0120735/,16
Lone Wolf and Cub: White Heaven in Hell,1974,http://www.imdb.com/title/tt0071695/,169
The Long Kiss Goodnight,1996,http://www.imdb.com/title/tt0116908/,68
The Lookout,2007,http://www.imdb.com/title/tt0427470/,7
LotR: Fellowship of the Ring,2001,http://www.imdb.com/title/tt0120737/,118
LotR: The Two Towers,2002,http://www.imdb.com/title/tt0167261/,468
LotR: Return of the King,2003,http://imdb.com/title/tt0167260/,836
The Lost City,2005,http://www.imdb.com/title/tt0343996/,41
Lucky Number Slevin,2006,http://www.imdb.com/title/tt0425210/,19
The Machine Girl,2008,http://www.imdb.com/title/tt1050160/,25
Mad Max,1979,http://www.imdb.com/title/tt0079501/,9
Mad Max 2: Road Warrior,1981,http://www.imdb.com/title/tt0082694/,44
Mad Max Beyond Thunderdome,1985,http://www.imdb.com/title/tt0089530/,12
The Magnificent Seven,1960,http://www.imdb.com/title/tt0054047/,55
A Man Apart,2003,http://www.imdb.com/title/tt0266465/,39
The Man with the Golden Gun,1974,http://www.imdb.com/title/tt0071807/,6
Marked for Death,1990,http://www.imdb.com/title/tt0100114/,34
The Mask of Zorro,1998,http://www.imdb.com/title/tt0120746/,26
Movie Body Counts:The Matrix,1999,http://www.imdb.com/title/tt0133093/,39
Maverick,1994,http://www.imdb.com/title/tt0110478/,4
Max Payne,2008,http://www.imdb.com/title/tt0467197/,38
Maximum Risk,1996,http://www.imdb.com/title/tt0117011/,18
McBain,1991,http://www.imdb.com/title/tt0102422/,181
Mean Machine,2001,http://www.imdb.com/title/tt0291341/,3
Memento,2000,http://www.imdb.com/title/tt0209144/,4
Milk,2008,http://www.imdb.com/title/tt1013753/,4
Minority Report,2002,http://www.imdb.com/title/tt0181689,4
Missing in Action,1984,http://www.imdb.com/title/tt0087727/,100
Mission: Impossible,1996,http://www.imdb.com/title/tt0117060/,9
Mission: Impossible II,2000,http://www.imdb.com/title/tt0120755/,37
Mission: Impossible III,2006,http://www.imdb.com/title/tt0317919/,23
The Mist,2007,http://www.imdb.com/title/tt0884328/,46
Mortal Kombat,1995,http://imdb.com/title/tt0113855/,11
Mr. & Mrs. Smith,2005,http://www.imdb.com/title/tt0356910/,43
Mr. Brooks,2007,http://www.imdb.com/title/tt0780571/,9
The Mummy,1999,http://www.imdb.com/title/tt0120616/,155
Munich,2005,http://www.imdb.com/title/tt0408306/,49
The Musketeer,2001,http://www.imdb.com/title/tt0246544/,56
My Bloody Valentine 3D,2009,http://www.imdb.com/title/tt1179891/,24
The New World,2005,http://www.imdb.com/title/tt0402399/,28
A Nightmare on Elm Street,1984,http://www.imdb.com/title/tt0087800/,4
No Country for Old Men,2007,http://www.imdb.com/title/tt0477348/,22
The Number 23,2007,http://www.imdb.com/title/tt0481369/,10
Octopussy,1983,http://www.imdb.com/title/tt0086034,46
The Omen,2006,http://www.imdb.com/title/tt0466909/,8
On Deadly Ground,1994,http://www.imdb.com/title/tt0110725/,25
On Her Majesty's Secret Service,1969,http://www.imdb.com/title/tt0064757,26
